"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"Sweetwater","Sweetwater","City","48353","TX","Texas","32.4692","-100.4092","10605"
"Sweeny","Sweeny","City","48039","TX","Texas","29.0463","-95.6988","3638"
"Surfside Beach","Surfside Beach","City","48039","TX","Texas","28.9559","-95.2836","654"
"Sunset Valley","Sunset Valley","City","48453","TX","Texas","30.2258","-97.8158","554"
"Sunset Acres","Sunset Acres","City","48479","TX","Texas","27.7942","-99.4566","17"
"Sunset","Sunset","City","48337","TX","Texas","33.448","-97.7663","520"
"Sunrise Shores","Sunrise Shores","City","48213","TX","Texas","32.1801","-95.5056","536"
"Sunrise Beach Village","Sunrise Beach Village","City","48299","TX","Texas","30.5862","-98.4187","1012"
"Sunray","Sunray","City","48341","TX","Texas","36.0184","-101.8245","2417"
"Sunnyvale","Sunnyvale","City","48113","TX","Texas","32.7974","-96.5577","7647"
"Sundown","Sundown","City","48219","TX","Texas","33.4576","-102.4908","1424"
"Sun Valley","Sun Valley","City","48277","TX","Texas","33.6705","-95.4287","61"
"Summerfield","Summerfield","City","48069","TX","Texas","34.7398","-102.5096","0"
"Sulphur Springs","Sulphur Springs","City","48223","TX","Texas","33.1421","-95.6122","15825"
"Sullivan City","Sullivan City","City","48215","TX","Texas","26.2752","-98.5644","3940"
"Sugar Land","Sugar Land","City","48157","TX","Texas","29.5935","-95.6358","110272"
"Sudan","Sudan","City","48279","TX","Texas","34.0665","-102.5243","1078"
"Study Butte","Study Butte","City","48043","TX","Texas","29.335","-103.5421","172"
"Streetman","Streetman","City","48161","TX","Texas","31.8787","-96.3306","345"
"Strawn","Strawn","City","48363","TX","Texas","32.551","-98.4979","616"
"Stratford","Stratford","City","48421","TX","Texas","36.3376","-102.076","1371"
"Stowell","Stowell","City","48071","TX","Texas","29.7814","-94.3794","2085"
"Stonewall","Stonewall","City","48171","TX","Texas","30.2497","-98.6593","512"
"Stockton Bend","Stockton Bend","City","48221","TX","Texas","32.475","-97.7611","594"
"Stockdale","Stockdale","City","48493","TX","Texas","29.2361","-97.9636","1353"
"Stinnett","Stinnett","City","48233","TX","Texas","35.8231","-101.4436","1465"
"Sterling City","Sterling City","City","48431","TX","Texas","31.8392","-100.986","1219"
"Stephenville","Stephenville","City","48143","TX","Texas","32.2147","-98.2205","20504"
"Steiner Ranch","Steiner Ranch","City","48453","TX","Texas","30.3654","-97.896","18189"
"Star Harbor","Star Harbor","City","48213","TX","Texas","32.1927","-96.0542","503"
"Staples","Staples","City","48187","TX","Texas","29.7664","-97.8279","222"
"Stanton","Stanton","City","48317","TX","Texas","32.1317","-101.7927","2665"
"Stamford","Stamford","City","48207","TX","Texas","33.0156","-99.6716","2941"
"Stagecoach","Stagecoach","City","48339","TX","Texas","30.1438","-95.7079","618"
"Stafford","Stafford","City","48157","TX","Texas","29.6271","-95.5654","17170"
